date,venue,teams,toss_winner,toss_decision,match_winner,players
2013-05-19,Subrata Roy Sahara Stadium,"('Delhi Daredevils', 'Pune Warriors')",Pune Warriors,bat,Pune Warriors,"(('B Chipli', 'BJ Rohrer', 'CM Gautam', 'DA Warner', 'DPMD Jayawardene', 'IK Pathan', 'M Morkel', 'S Kaul', 'S Nadeem', 'UT Yadav', 'V Sehwag'), ('AB Dinda', 'AD Mathews', 'AG Murtaza', 'AJ Finch', 'B Kumar', 'LJ Wright', 'MK Pandey', 'RV Gomez', 'RV Uthappa', 'WD Parnell', 'Yuvraj Singh'))"
2015-04-15,Maharashtra Cricket Association Stadium,"('Delhi Daredevils', 'Kings XI Punjab')",Kings XI Punjab,bat,Delhi Daredevils,"(('A Mishra', 'AD Mathews', 'DJ Muthuswami', 'Imran Tahir', 'JP Duminy', 'KM Jadhav', 'MA Agarwal', 'MK Tiwary', 'NM Coulter-Nile', 'SS Iyer', 'Yuvraj Singh'), ('AR Patel', 'Anureet Singh', 'DA Miller', 'GJ Bailey', 'GJ Maxwell', 'M Vijay', 'MG Johnson', 'R Dhawan', 'Sandeep Sharma', 'V Sehwag', 'WP Saha'))"
2011-05-14,M Chinnaswamy Stadium,"('Kolkata Knight Riders', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Royal Challengers Bangalore,"(('B Lee', 'EJG Morgan', 'G Gambhir', 'Iqbal Abdulla', 'JD Unadkat', 'JH Kallis', 'L Balaji', 'MK Tiwary', 'MV Boucher', 'R Bhatia', 'YK Pathan'), ('A Mithun', 'AB de Villiers', 'CH Gayle', 'CK Langeveldt', 'KB Arun Karthik', 'LA Pomersbach', 'M Kaif', 'S Aravind', 'SS Tiwary', 'V Kohli', 'Z Khan'))"
2017-05-07,"Punjab Cricket Association IS Bindra Stadium, Mohali","('Gujarat Lions', 'Kings XI Punjab')",Gujarat Lions,field,Gujarat Lions,"(('AJ Finch', 'Ankit Soni', 'Basil Thampi', 'DR Smith', 'DS Kulkarni', 'Ishan Kishan', 'JP Faulkner', 'KD Karthik', 'PJ Sangwan', 'RA Jadeja', 'SK Raina'), ('AR Patel', 'GJ Maxwell', 'Gurkeerat Singh', 'HM Amla', 'MJ Guptill', 'MM Sharma', 'SE Marsh', 'Sandeep Sharma', 'T Natarajan', 'VR Aaron', 'WP Saha'))"
2010-04-17,M Chinnaswamy Stadium,"('Mumbai Indians', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Mumbai Indians,"(('AM Nayar', 'AP Tare', 'AT Rayudu', 'CRD Fernando', 'Harbhajan Singh', 'JP Duminy', 'KA Pollard', 'R McLaren', 'SR Tendulkar', 'SS Tiwary', 'Z Khan'), ('A Kumble', 'DW Steyn', 'JH Kallis', 'KP Pietersen', 'LRPL Taylor', 'MK Pandey', 'Pankaj Singh', 'R Dravid', 'R Vinay Kumar', 'RV Uthappa', 'V Kohli'))"
2016-04-26,"Rajiv Gandhi International Stadium, Uppal","('Rising Pune Supergiants', 'Sunrisers Hyderabad')",Rising Pune Supergiants,field,Rising Pune Supergiants,"(('AB Dinda', 'AM Rahane', 'F du Plessis', 'M Ashwin', 'MR Marsh', 'MS Dhoni', 'NLTC Perera', 'R Ashwin', 'R Bhatia', 'SPD Smith', 'SS Tiwary'), ('A Nehra', 'AP Tare', 'B Kumar', 'Bipul Sharma', 'DA Warner', 'DJ Hooda', 'EJG Morgan', 'MC Henriques', 'Mustafizur Rahman', 'NV Ojha', 'S Dhawan'))"
2024-04-28,"Narendra Modi Stadium, Ahmedabad","('Gujarat Titans', 'Royal Challengers Bengaluru')",Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,"(('Azmatullah Omarzai', 'B Sai Sudharsan', 'DA Miller', 'M Shahrukh Khan', 'MM Sharma', 'Noor Ahmad', 'R Sai Kishore', 'R Tewatia', 'Rashid Khan', 'S Sandeep Warrier', 'Shubman Gill', 'WP Saha'), ('C Green', 'F du Plessis', 'GJ Maxwell', 'KD Karthik', 'KV Sharma', 'Mohammed Siraj', 'RM Patidar', 'Swapnil Singh', 'V Kohli', 'WG Jacks', 'Yash Dayal'))"
2020-10-11,Dubai International Cricket Stadium,"('Rajasthan Royals', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,bat,Rajasthan Royals,"(('BA Stokes', 'JC Archer', 'JC Buttler', 'JD Unadkat', 'Kartik Tyagi', 'R Parag', 'R Tewatia', 'RV Uthappa', 'S Gopal', 'SPD Smith', 'SV Samson'), ('Abhishek Sharma', 'DA Warner', 'JM Bairstow', 'KK Ahmed', 'KS Williamson', 'MK Pandey', 'PK Garg', 'Rashid Khan', 'Sandeep Sharma', 'T Natarajan', 'V Shankar'))"
2012-04-18,"Punjab Cricket Association Stadium, Mohali","('Kings XI Punjab', 'Kolkata Knight Riders')",Kings XI Punjab,bat,Kolkata Knight Riders,"(('AC Gilchrist', 'AD Mascarenhas', 'BA Bhatt', 'DJ Hussey', 'Harmeet Singh', 'Mandeep Singh', 'P Dogra', 'P Kumar', 'PC Valthaty', 'PP Chawla', 'SE Marsh'), ('B Lee', 'BB McCullum', 'DB Das', 'G Gambhir', 'JH Kallis', 'L Balaji', 'MK Tiwary', 'MS Bisla', 'R Bhatia', 'SP Narine', 'YK Pathan'))"
2013-04-25,"MA Chidambaram Stadium, Chepauk","('Chennai Super Kings', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,bat,Chennai Super Kings,"(('CH Morris', 'DJ Bravo', 'JO Holder', 'M Vijay', 'MEK Hussey', 'MM Sharma', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'S Badrinath', 'SK Raina'), ('A Ashish Reddy', 'A Mishra', 'CL White', 'DJG Sammy', 'DW Steyn', 'GH Vihari', 'I Sharma', 'KV Sharma', 'Q de Kock', 'S Dhawan', 'X Thalaivan Sargunam'))"
2011-04-10,Dr DY Patil Sports Academy,"('Kings XI Punjab', 'Pune Warriors')",Kings XI Punjab,bat,Pune Warriors,"(('AC Gilchrist', 'AM Nayar', 'BA Bhatt', 'KD Karthik', 'NJ Rimmington', 'P Kumar', 'PC Valthaty', 'PP Chawla', 'R McLaren', 'SE Marsh', 'Sunny Singh'), ('AC Thomas', 'GC Smith', 'JD Ryder', 'M Kartik', 'M Manhas', 'MD Mishra', 'R Sharma', 'RV Uthappa', 'SB Wagh', 'WD Parnell', 'Yuvraj Singh'))"
2019-04-28,Eden Gardens,"('Kolkata Knight Riders', 'Mumbai Indians')",Mumbai Indians,field,Kolkata Knight Riders,"(('AD Russell', 'CA Lynn', 'HF Gurney', 'KD Karthik', 'N Rana', 'PP Chawla', 'RK Singh', 'RV Uthappa', 'S Sandeep Warrier', 'SP Narine', 'Shubman Gill'), ('BB Sran', 'E Lewis', 'HH Pandya', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'Q de Kock', 'RD Chahar', 'RG Sharma', 'SA Yadav', 'SL Malinga'))"
2008-04-19,Feroz Shah Kotla,"('Delhi Daredevils', 'Rajasthan Royals')",Rajasthan Royals,bat,Delhi Daredevils,"(('B Geeves', 'DL Vettori', 'G Gambhir', 'GD McGrath', 'KD Karthik', 'M Manhas', 'MF Maharoof', 'MK Tiwary', 'R Bhatia', 'S Dhawan', 'V Sehwag'), ('D Salunkhe', 'DS Lehmann', 'M Kaif', 'M Rawat', 'MM Patel', 'RA Jadeja', 'SK Trivedi', 'SK Warne', 'SR Watson', 'T Kohli', 'YK Pathan'))"
